id,title,country,country_code,region,sub_region,trip_type,trip_type_id,duration_days,best_period_months,best_period_window,budget_tier,budget_low_eur,budget_high_eur,acc_low,acc_high,food_low,food_high,trans_low,trans_high,act_low,act_high,difficulty,fitness_level,basecamps,gateway_airport,gateway_airport_code,currency,languages,tags,lat,lon,coord_precision,verify_flag_count,word_count,source_batch,source_file
li-trail-running-fuerstensteig-drei-schwestern,The Principality Ridge — Fürstensteig and the Drei Schwestern,Liechtenstein,LI,Western & Central Europe,"Rätikon, Liechtenstein Alps",Trail Running,2,7,June|July|August|September|October,The Fürstensteig ledges stay iced or snow-patched until mid-June and again from late October.,€€€,1150,1650,560,800,330,480,130,200,130,170,4,Demanding,Vaduz (nights 1–3) and Malbun (nights 4–7),Zürich (ZRH),ZRH,CHF,German,ridge-running|exposed-terrain|micro-state|cross-border|hut-support,47.1415,9.5215,city,0,2024,western-central,cartatripsv1/trips/li-trail-running-fuerstensteig-drei-schwestern.md
lu-trail-running-mullerthal,Little Switzerland Underfoot — The Mullerthal Trail,Luxembourg,LU,Western & Central Europe,Mullerthal / Petite Suisse Luxembourgeoise,Trail Running,2,7,April|May|June|September|October,"Sandstone slabs, roots and wooden steps turn treacherous once leaf-fall and winter damp set in.",€€,820,1220,400,600,280,400,40,70,100,150,3,Active,Echternach,Luxembourg (LUX),LUX,EUR,Luxembourgish|French|German,sandstone-gorges|technical-footing|long-distance-trail|free-transit|low-altitude,49.6098,6.1327,gateway,0,2027,western-central,cartatripsv1/trips/lu-trail-running-mullerthal-trail.md
mc-trail-running-tete-de-chien-agel,Sea Level to Summit — Running Monaco's Hinterland,Monaco,MC,Western & Central Europe,Monaco and the Alpes-Maritimes hinterland,Trail Running,2,7,March|April|May|October|November,July and August bring heat above 30°C and prefectural fire closures on the limestone massifs.,€€€,1300,2100,700,1150,400,600,120,200,80,150,4,Demanding,"Monaco (or Beausoleil, 200 m across the border)",Nice Côte d'Azur (NCE),NCE,EUR,French,coastal-ridges|sea-level-to-summit|cross-border|heat-management|stair-repeats,43.7372,7.4215,city,0,2028,western-central,cartatripsv1/trips/mc-trail-running-tete-de-chien-agel.md
me-trail-running-durmitor,Durmitor Ridges,Montenegro,ME,Southern & Mediterranean Europe,"Durmitor National Park & Žabljak, northern Montenegro",Trail Running,2,7,June|July|September|October,Mid-June–mid-July & early September–early October,€,780,1320,300,560,170,260,250,380,60,120,4,Demanding,,TGD — Podgorica (2 h–2 h 30 drive to Žabljak via Nikšić or the Tara bridge); TIV — Tivat is 2 h 45,TGD,,,trail-running|durmitor|bobotov-kuk|tara-canyon|karst|via-dinarica|zabljak|prutas|katun|montenegro,42.4412,19.2631,country,0,3079,southern-mediterranean,carta-dataset/trips/trail-running-montenegro-durmitor.md
no-trail-running-romsdal-ridges-andalsnes-skyrunning-week,Romsdal Ridges: Åndalsnes Skyrunning Week,Norway,NO,Northern Europe & Baltics,"Møre og Romsdal, Western Norway",Trail Running,2,7,June|July|August|September,"Late June to late September. Snow lingers on north-facing ridge sections into early July; September gives firm ground, no mosquitoes and cold clear air",€€€,1600,2300,130,220,60,90,180,300,90,160,4,Demanding,Åndalsnes|Isfjorden|Innfjorden,,,NOK (Norwegian krone),Norwegian|English,,62.5675,7.687,source,0,1573,northern-baltics,carta_northern_europe_baltics_trips.md#trip-04
pl-trail-running-karkonosze-stolowe,Sandstone and Saucer: A Trail-Running Week in the Karkonosze and Góry Stołowe,Poland,PL,Eastern & Southeastern Europe,"The Sudetes — Karkonosze, Góry Stołowe and the Śnieżnik Massif",Trail Running,2,7,June|September|October,"the first three weeks of September — dry sandstone, stable air, empty ridge",€,495,830,230,400,140,210,90,160,35,60,4,Demanding,Karpacz|Kudowa-Zdrój|Karłów,"Wrocław (WRO), 2 h by bus/car to Karpacz; Prague (PRG) 2 h 30 to Kudowa via Náchod. Rail to Jelenia Góra, then bus 100/200 to Karpacz (~40 min).",WRO,Polish złoty (PLN),Polish,trail-running|sudetes|karkonosze|gory-stolowe|sniezka|sandstone|national-parks,51.1029,17.0301,gateway,10,2359,eastern-southeastern,cartaeasterneuropetrips/trips/poland-karkonosze-stolowe-trail-running.md
pt-trail-running-madeira,Madeira: Pico Ruivo & the Levadas,Portugal,PT,Southern & Mediterranean Europe,"Madeira — Central Massif, Laurissilva & the north coast",Trail Running,2,7,March|April|May|September|October|November,March–May & late September–November,€€,1050,1740,450,780,220,340,280,440,100,180,4,Demanding,,"FNC — Madeira Cristiano Ronaldo, Santa Cruz (20 min to Funchal, 40 min to Santana, 55 min to Porto Moniz)",FNC,,,trail-running|madeira|pico-ruivo|levada|laurissilva|miut|volcanic|pr-trails|atlantic|tunnels,38.7251,-9.1498,country,0,3177,southern-mediterranean,carta-dataset/trips/trail-running-portugal-madeira.md
ro-trail-running-piatra-craiului-bucegi,The Knife and the Plateau: Running Piatra Craiului and the Bucegi,Romania,RO,Eastern & Southeastern Europe,"Piatra Craiului & Bucegi Mountains, Southern Carpathians",Trail Running,2,7,July|August|September,"mid-July to mid-September, once the ridge snow patches have gone and before the first autumn storms",€€,560,960,250,430,130,200,120,200,60,130,4,Demanding,Zărnești|Măgura|Bran|Râșnov|Bușteni,"Bucharest Otopeni (OTP) then CFR to Brașov (2 h 30–3 h) or Bușteni (2 h); Brașov → Zărnești by local train (~50 min) or road (~28 km, 40 min). Bușteni is on the DN1/Prahova valley main line, so the week's ending point is the easiest place in Romania to leave from.",OTP,Romanian leu (RON),Romanian|Hungarian|German,trail-running|ridge-running|limestone|karst|carpathians|bears|salvamont,45.5609,25.3179,city,8,3022,eastern-southeastern,cartaeasterneuropetrips/trips/romania-piatra-craiului-bucegi-trail-running.md
si-trail-running-julian-alps-bohinj,Julian Alps: Bohinj & Pokljuka,Slovenia,SI,Southern & Mediterranean Europe,"Gorenjska — Bohinj, Pokljuka & the Triglav Lakes Valley",Trail Running,2,7,June|July|September,"Mid-June–mid-July & September (huts staffed, snow gone, lakes running)",€€,1050,1650,480,760,220,330,260,400,90,160,4,Demanding,,LJU — Ljubljana Jože Pučnik (1 h 15 drive to Bohinj; bus via Bled ~2 h); KLU Klagenfurt and TRS Trieste are both ~2 h,LJU,,,trail-running|julian-alps|bohinj|triglav-national-park|pokljuka|seven-lakes|planina|knafelc|komna|vogel,46.0511,14.5051,country,0,3240,southern-mediterranean,carta-dataset/trips/trail-running-slovenia-julian-alps-bohinj.md
sk-trail-running-mala-fatra-low-tatras,"Two Ridges, One Week: Running the Malá Fatra and the Low Tatras",Slovakia,SK,Eastern & Southeastern Europe,"Malá Fatra (Vrátna) & Nízke Tatry (Jasná, Ďumbier)",Trail Running,2,7,July|August|September,16 June to the end of September — the high routes are legally shut before that,€€,595,1000,270,460,140,210,130,220,55,110,4,Demanding,Terchová|Štefanová|Liptovský Mikuláš|Demänovská Dolina|Donovaly,"Bratislava (BTS) or Vienna (VIE) then rail to **Žilina** (2 h 30 from Bratislava); Žilina → Terchová by SAD bus, ~50 min. Krakow (KRK) is 3 h by road. Between the ranges: Terchová → Liptovský Mikuláš, ~100 km / 1 h 20 via Žilina and the D1.",BTS,Euro (EUR),Slovak,trail-running|ridge-running|chains|limestone|karst|national-parks|hzs,49.0806,19.6222,city,8,2918,eastern-southeastern,cartaeasterneuropetrips/trips/slovakia-mala-fatra-low-tatras-trail-running.md
at-city-vienna-ring-and-beyond,Vienna — The Ring and Everything Behind It,Austria,AT,Western & Central Europe,Vienna,City Trips,3,7,April|May|June|September|October,May and late September give warm terraces without the August closures; the Heuriger season peaks with Sturm in late September.,€€,980,1420,560,820,230,330,60,100,130,170,1,Easy,Vienna (Neubau or Landstrasse),Vienna (VIE),VIE,EUR,German,ringstrasse|otto-wagner|coffee-houses|gemeindebau|markets,48.2085,16.3721,city,0,2088,western-central,cartatripsv1/trips/at-city-vienna-ring-and-beyond.md
be-city-antwerp-and-ghent,"Antwerp, With a Day in Ghent",Belgium,BE,Western & Central Europe,Flanders (Antwerp & East Flanders),City Trips,3,7,April|May|June|September|October,May and September give long evenings on the Scheldt quays; Flanders in July is warm but the Zuid empties for holidays.,€€,900,1360,500,760,220,320,70,120,110,160,1,Easy,Antwerp (Zuid or Historic Centre),Brussels (BRU),BRU,EUR,Dutch|French|English,rubens|art-nouveau|docklands|fashion-district|flemish-markets,51.2205,4.4003,city,0,2468,western-central,cartatripsv1/trips/be-city-antwerp-and-ghent.md
bg-city-sofia-plovdiv,Sofia and Plovdiv: A Split Week Between Serdica and Philippopolis,Bulgaria,BG,Eastern & Southeastern Europe,Sofia Valley & the Upper Thracian Plain,City Trips,3,7,May|June|September|October,"mid-May to mid-June, and the whole of September",€,515,890,270,480,140,230,35,60,70,120,1,Easy,Sofia|Plovdiv,Sofia Airport (SOF) Terminal 2 sits on metro line **M4**; Serdika in the centre in ~20 min for a single-ride fare. Plovdiv Airport (PDV) has thin seasonal traffic — plan on Sofia both ways and take the train back on Day 7 morning.,SOF,Euro (EUR) — sole legal tender since 1 February 2026; mandatory dual BGN display ended 8 August 2026,Bulgarian,city|unesco|roman-ruins|thracian|orthodox|mountains|budget,42.6975,23.3241,city,4,2275,eastern-southeastern,cartaeasterneuropetrips/trips/bulgaria-sofia-plovdiv-city.md
cz-city-brno-modernism,"Brno — Functionalism, Cellars and Café Tables",Czechia,CZ,Western & Central Europe,South Moravia,City Trips,3,7,April|May|June|September|October,September brings the Moravian harvest and burčák into the wine bars; Villa Tugendhat closes for maintenance in parts of winter.,€,535,850,280,450,140,210,35,60,80,130,2,Easy,Brno (Veveří or the historic core),Vienna (VIE),VIE,CZK,Czech,functionalism|villa-tugendhat|moravian-wine|cafe-culture|karst,49.1952,16.608,city,0,2730,western-central,cartatripsv1/trips/cz-city-brno-modernism.md
cz-city-prague-layered,"Prague in Layers — Gothic, Baroque, Cubist, Functionalist",Czechia,CZ,Western & Central Europe,Prague,City Trips,3,7,April|May|June|September|October,"May and late September avoid both the August coach season and the short, grey January days; the Vinohrady beer gardens open around April.",€€,640,1010,350,560,160,240,40,70,90,140,2,Easy,Prague (Vinohrady or Karlín),Prague (PRG),PRG,CZK,Czech,cubist-architecture|functionalism|baroque|vinohrady|karlin,50.088,14.4208,city,0,2632,western-central,cartatripsv1/trips/cz-city-prague-layered.md
de-city-berlin-neighbourhoods,"Berlin, One Kiez at a Time",Germany,DE,Western & Central Europe,Berlin,City Trips,3,7,May|June|September|October,July and August are hot and the city half-empties; January and February are dark by 16:00.,€€,880,1300,420,620,230,340,60,90,170,250,2,Active,Kreuzberg or Mitte,Berlin Brandenburg (BER),BER,EUR,German,museumsinsel|kiez-walking|cold-war-history|street-food|bvg,52.5244,13.4105,city,0,1993,western-central,cartatripsv1/trips/de-city-berlin-neighbourhoods.md
de-city-hamburg-hafencity,Hamburg on the Water,Germany,DE,Western & Central Europe,Hamburg & the Lower Elbe,City Trips,3,7,May|June|July|August|September,The Elbe wind is cold until late April; June and September give long light without August prices.,€€,900,1350,440,660,240,350,70,100,150,240,2,Active,Neustadt or St. Pauli,Hamburg (HAM),HAM,EUR,German,speicherstadt|harbour-ferries|brick-expressionism|elbphilharmonie|hvv,53.5507,9.993,city,0,1995,western-central,cartatripsv1/trips/de-city-hamburg-hafencity-water.md
dk-city-copenhagen-by-neighbourhood-block,Copenhagen by Neighbourhood Block,Denmark,DK,Northern Europe & Baltics,Zealand / Øresund,City Trips,3,7,May|June|July|August|September|December,May to September for harbour swimming and outdoor dining; late November–December for Tivoli's Christmas season; February is cheapest and the museums are empty,€€€,1600,2600,150,260,60,120,45,70,90,180,,,,,,DKK (Danish krone),Danish|English — near-universal,,55.6761,12.5683,source,0,1540,northern-baltics,carta_northern_europe_baltics_trips.md#trip-07
ee-city-tallinn-limestone-bastions-telliskivi,"Tallinn: Limestone, Bastions & Telliskivi",Estonia,EE,Northern Europe & Baltics,"Harju County, Gulf of Finland",City Trips,3,7,May|June|July|August|September|December,"May to September for terraces and white nights; December for the Town Hall Square Christmas market; January–February is bitter, beautiful and half price",€€,800,1300,70,150,40,70,25,50,60,120,,,,,,EUR,Estonian|Russian|English,,59.437,24.7536,source,0,1461,northern-baltics,carta_northern_europe_baltics_trips.md#trip-08
es-city-seville,Seville Slow: Mudéjar Courtyards and Triana Nights,Spain,ES,Southern & Mediterranean Europe,Andalucía — Seville & the Guadalquivir,City Trips,3,7,March|May|October|November,Mid-March–early May & mid-October–end November,€€,930,1505,490,840,250,380,60,100,130,185,2,Moderate,,"SVQ — Seville Airport; EA airport bus to Plaza de Armas 35 min (€4 single), taxi flat fare ~€25–33",SVQ,,,mudejar|alcazar|flamenco|tapas|orange-trees|baroque|day-trip-cordoba|ave-train|patios,37.3828,-5.9732,city,0,2466,southern-mediterranean,carta-dataset/trips/city-spain-seville.md
fr-city-paris-arrondissement-blocks,"Paris by the Block — Seven Arrondissements, Seven Days",France,FR,Western & Central Europe,Île-de-France,City Trips,3,7,April|May|June|September|October,Late September and early October give warm terraces and reopened kitchens after the August closures; May is beautiful and busy.,€€€,1200,1880,700,1150,300,430,60,90,140,210,2,Moderate,Paris (11e or 3e),Paris Charles de Gaulle (CDG),CDG,EUR,French,arrondissements|timed-entry|street-markets|belleville|canal-saint-martin,48.8534,2.3488,city,0,2778,western-central,cartatripsv1/trips/fr-city-paris-arrondissement-blocks.md
gr-city-athens,"Athens Beyond the Rock: Neighbourhoods, Marble and the Saronic Light",Greece,GR,Southern & Mediterranean Europe,Attica — Athens & the Saronic coast,City Trips,3,7,March|April|May|September|October|November,Late March–mid May & late September–early November,€€,935,1510,490,840,250,380,55,90,140,200,2,Moderate,,"ATH — Eleftherios Venizelos; Metro Line 3 to Syntagma/Monastiraki 40 min (€9), X95 express bus to Syntagma 60–90 min (€5.50)",ATH,,,acropolis|archaeology|byzantine|mezedopoleio|rooftop|day-trip-sounion|street-art|snfcc|neoclassical,37.9838,23.7278,city,0,2622,southern-mediterranean,carta-dataset/trips/city-greece-athens.md
hu-city-budapest,"Districts and Domes: Seven Days in Budapest, Pest Side First",Hungary,HU,Eastern & Southeastern Europe,"Budapest — Pest districts V–IX, Buda I–II, XIII and Óbuda",City Trips,3,7,April|May|September|October,"late April to early June, and the second half of September",€€,785,1325,420,700,210,350,25,45,130,230,1,Easy,Budapest V. kerület|Budapest VI. kerület|Budapest VII. kerület,"Budapest Ferenc Liszt (BUD), 16 km out. Bus **100E** direct to Deák Ferenc tér, or **200E** to Kőbánya-Kispest and M3. Rail: Keleti and Nyugati stations, both on the metro.",BUD,Hungarian forint (HUF),Hungarian,city-break|thermal-baths|secession|jewish-quarter|ruin-bars|danube|architecture,47.4996,19.0511,city,13,2386,eastern-southeastern,cartaeasterneuropetrips/trips/hungary-budapest-city.md
it-city-naples,"Naples Vertical: Spaccanapoli, Sanità and the Bay",Italy,IT,Southern & Mediterranean Europe,Campania — Naples & the Gulf,City Trips,3,7,March|April|May|June|September|October|November,Late March–early June & late September–early November,€€,870,1450,440,780,230,360,50,80,150,230,3,Active,,"NAP — Naples Capodichino; Alibus to Piazza Garibaldi 15 min / Molo Beverello 25 min (€3 in advance, €4 on board), taxi flat fare ~€23–27",NAP,,,baroque|catacombs|pizza|archaeology|street-food|funicular|day-trip-pompeii|caravaggio|vertical-city,40.8522,14.2681,city,0,2471,southern-mediterranean,carta-dataset/trips/city-italy-naples.md
it-city-rome,Rome in Seven Layers: Centro Storico to EUR,Italy,IT,Southern & Mediterranean Europe,Lazio — Rome & the Tiber mouth,City Trips,3,7,March|April|May|September|October|November,Late March–mid-May & late September–mid-November,€€,1100,1850,560,980,300,460,55,90,185,320,2,Moderate,,"FCO Leonardo da Vinci–Fiumicino — Leonardo Express to Termini 32 min; CIA Ciampino for low-cost carriers, 40 min by bus",FCO,,,ancient-rome|baroque|caravaggio|timed-entry|trattoria|roman-cuisine|day-trip-ostia|rationalist-architecture,41.8919,12.5113,city,0,3878,southern-mediterranean,carta-dataset/trips/city-italy-rome.md
lu-city-ville-fortress,"Luxembourg City, Fortress and Valley",Luxembourg,LU,Western & Central Europe,Luxembourg City & the Alzette Valley,City Trips,3,7,April|May|June|September|October,The Bock casemates and the palace tours are seasonal; both are shut for much of the winter.,€€€,950,1400,500,720,280,400,40,80,130,200,2,Active,Luxembourg City (Ville Haute or Gare),Luxembourg Findel (LUX),LUX,EUR,Luxembourgish|French|German,unesco-fortress|casemates|free-transit|contemporary-architecture|minett,49.6098,6.1327,city,0,1994,western-central,cartatripsv1/trips/lu-city-luxembourg-ville-fortress.md
lv-city-riga-art-nouveau-market-halls-daugava,"Riga: Art Nouveau, Market Halls & the Daugava",Latvia,LV,Northern Europe & Baltics,Riga & the Gulf of Riga,City Trips,3,7,May|June|July|August|September|December,"May to September; June for the Jāņi midsummer festival; December for the Christmas market on Doma laukums; February is cheap, dark and atmospheric",€€,700,1150,65,140,35,65,25,45,55,110,,,,,,EUR,Latvian|Russian|English,,56.9496,24.1052,source,0,1449,northern-baltics,carta_northern_europe_baltics_trips.md#trip-09
mc-city-riviera-week,A Riviera Week from a Monaco Base,Monaco,MC,Western & Central Europe,Monaco & the Alpes-Maritimes,City Trips,3,7,April|May|June|September|October,Avoid the last week of May entirely; the Grand Prix closes half the streets and triples every room rate.,€€€,1900,2900,1000,1500,500,750,120,200,280,450,2,Active,Monaco (La Condamine or Monte-Carlo),Nice Côte d'Azur (NCE),NCE,EUR,French|Italian|Monégasque,riviera|belle-epoque|ter-trains|coastal-paths|timed-entry,43.7372,7.4215,city,0,2028,western-central,cartatripsv1/trips/mc-city-monaco-riviera-week.md
md-city-chisinau-tiraspol-comrat,"Three Capitals in One Country: Chișinău, Tiraspol and Comrat",Moldova,MD,Eastern & Southeastern Europe,"Chișinău, Transnistria (de facto), and the Gagauz autonomy",City Trips,3,7,May|June|September,"early September — warm, the wine harvest starting, and Chișinău's National Wine Day in the first weekend of October just beyond it",€,405,740,180,350,110,180,35,70,80,140,1,Easy,Chișinău,"Chișinău International (KIV), 13 km and 20–30 minutes from the centre. **No published airport taxi tariff and meters are unreliable** — order a **Bolt** or **Yandex Go** and take the fixed quote (roughly 160 MDL / ~€8). **Trolleybus 30** runs into town for **7 MDL** (~€0.35).",KIV,Moldovan leu (MDL); Transnistria uses the unrecognised Transnistrian rouble (PRB),Romanian|Russian|Gagauz,city-break|soviet-modernism|wine|transnistria|gagauzia|budget|museums,47.009,28.8594,city,7,2406,eastern-southeastern,cartaeasterneuropetrips/trips/moldova-chisinau-tiraspol-comrat-city.md
nl-city-amsterdam-canal-belt,"Amsterdam by Canal, Oost and Noord",Netherlands,NL,Western & Central Europe,Amsterdam & the IJ,City Trips,3,7,April|May|June|September|October,Tulip season runs April into early May; June and September give long light with fewer crowds than midsummer.,€€,950,1400,480,700,250,360,60,90,160,250,2,Active,Jordaan or De Pijp,Amsterdam Schiphol (AMS),AMS,EUR,Dutch|English,canal-belt|timed-entry|ij-ferries|grachtengordel|unesco,52.374,4.8897,city,0,1834,western-central,cartatripsv1/trips/nl-city-amsterdam-canal-belt.md
pl-city-krakow,"Kraków in Seven Days: Planty Ring, Kazimierz Nights, Nowa Huta Mornings",Poland,PL,Eastern & Southeastern Europe,Lesser Poland (Małopolska) — Kraków and the Wieliczka–Oświęcim corridor,City Trips,3,7,April|May|September|October,"late April to mid-June, then the second half of September",€€,680,1150,350,620,165,270,45,75,120,185,1,Easy,Kraków,"Kraków–Balice (KRK), 11 km west. The Kraków Lotnisko–Kraków Główny train runs every 30 min, ~20 min, ~€4.65 (20 PLN, 2026 Koleje Małopolskie fare, luggage free). Rail from Warsaw Centralna 2h20 on EIP/IC; from Berlin via Warsaw or the direct night train.",KRK,Polish złoty (PLN),Polish,city|unesco|jewish-heritage|gothic|socialist-realism|museums|walkable,50.0614,19.9366,city,8,2406,eastern-southeastern,cartaeasterneuropetrips/trips/poland-krakow-city.md
pt-city-lisbon,"Lisbon on Foot: Seven Hills, Seven Days",Portugal,PT,Southern & Mediterranean Europe,Lisboa & the Tagus Estuary,City Trips,3,7,March|June|September|October,Mid-March–early June & mid-September–end October,€€,1025,1675,560,980,280,420,55,85,130,190,2,Moderate,,"LIS — Humberto Delgado; Metro Red Line to Alameda 20 min, taxi to Baixa 20–25 min (€15–20)",LIS,,,azulejos|miradouros|fado|pastelaria|manueline|day-trip-sintra|walkable|riverfront,38.7251,-9.1498,city,0,2235,southern-mediterranean,carta-dataset/trips/city-portugal-lisbon.md
ro-city-bucharest,"Little Paris, Then the Bulldozers: Seven Days in Bucharest",Romania,RO,Eastern & Southeastern Europe,Bucharest (București) & the Ilfov fringe,City Trips,3,7,May|June|September|October,mid-May to mid-June and the whole of September — terrace weather without the 38 °C concrete oven,€,640,1175,350,630,175,315,25,60,90,170,1,Easy,București,"Henri Coandă (OTP), 17 km north. **Express bus 783** runs OTP → Piața Unirii via Piața Victoriei roughly every 20–30 min, ~40–60 min; buy the card at the STB kiosk in the arrivals hall before boarding. Rail links to Gara de Nord also run from the airport halt.",OTP,Romanian leu (RON),Romanian,city|architecture|neo-romanian|modernism|communism|museums|food,44.4323,26.1063,city,8,2526,eastern-southeastern,cartaeasterneuropetrips/trips/romania-bucharest-city.md
rs-city-belgrade,"Belgrade at the Confluence: Kafanas, Concrete and the Sava",Serbia,RS,Southern & Mediterranean Europe,"Belgrade, with Vojvodina & Šumadija as gateways",City Trips,3,7,April|May|June|September|October,Late April–mid June & September–mid October,€,570,1000,280,520,180,290,40,70,70,120,2,Moderate,,"BEG — Nikola Tesla Airport; A1 minibus to Slavija 30 min, bus 72 to Zeleni Venac 45 min, taxi with an official rank voucher ~2,200–2,500 RSD (€19–21)",BEG,,,kafana|brutalism|yugoslavia|danube|rakija|splav|non-eu|day-trip-novi-sad|orthodox,44.804,20.4651,city,0,2543,southern-mediterranean,carta-dataset/trips/city-serbia-belgrade.md
sk-city-bratislava-kosice,Two Ends of a Long Country: Bratislava and Košice in a Split Week,Slovakia,SK,Eastern & Southeastern Europe,"Bratislava (Staré Mesto, Petržalka, Devín) and Košice (Hlavná, Spiš)",City Trips,3,7,May|June|September,"mid-May to late June, and September — terrace weather, no August closures, Košice before the student term crush",€€,705,1230,350,630,175,280,90,150,90,170,1,Easy,Bratislava|Košice,"**Fly to Vienna (VIE), not Bratislava.** The airport bus to Bratislava takes about an hour and runs many times a day, and Vienna's route network is incomparably better than BTS's. Košice (KSC) has flights to Vienna, Prague, Warsaw, London and Bratislava.",VIE,Euro (EUR),Slovak|Hungarian (widely in the east and the south),city-break|secession|gothic|functionalism|panel-blocks|spis-castle|danube,48.1482,17.1067,city,10,2529,eastern-southeastern,cartaeasterneuropetrips/trips/slovakia-bratislava-kosice-city.md
xk-city-pristina-prizren,Pristina & Prizren: Kosovo's Two Cities in Seven Days,Kosovo,XK,Southern & Mediterranean Europe,"Kosovo — Pristina, Prizren & the Rugova highlands",City Trips,3,7,May|June|September|October,Mid-May–late June & September–mid October,€,480,850,210,400,150,240,70,120,50,90,2,Moderate,,"PRN — Pristina International ""Adem Jashari""; airport shuttle or taxi to central Pristina 20 min (€15–20 fixed); no train link",PRN,,,ottoman|orthodox-monasteries|brutalism|newborn|non-eu|day-trip-rugova|balkan|coffee-culture|hammam,42.6639,21.0961,city,0,2745,southern-mediterranean,carta-dataset/trips/city-kosovo-pristina-prizren.md
at-cozy-towns-salzkammergut,Lake Towns of the Salzkammergut,Austria,AT,Western & Central Europe,"Salzkammergut, Upper Austria & Styria",Cozy Towns Trips,4,7,May|June|September|October,July and August fill Hallstatt with coach parties; May and late September give you the same lake light with half the people.,€€,1150,1650,520,760,330,450,160,250,140,190,1,Easy,"Gmunden, Bad Ischl and Hallstatt",Salzburg (SZG),SZG,EUR,German,lake-towns|ceramics|market-days|slow-travel|salt-country,47.7994,13.044,gateway,0,2020,western-central,cartatripsv1/trips/at-cozy-towns-salzkammergut.md
ba-cozy-towns-slowly-mostar-blagaj-pocitelj-trebinje,"Herzegovina Slowly: Mostar, Blagaj, Počitelj & Trebinje",Bosnia and Herzegovina,BA,Southern & Mediterranean Europe,Herzegovina — Neretva valley & Trebišnjica,Cozy Towns Trips,4,7,April|May|June|September|October,Late April–mid June & mid September–late October,€,760,1300,320,560,160,280,190,290,90,170,2,Moderate,,"DBV — Dubrovnik, 1 h 50 to Trebinje and 3 h to Mostar including the border; SJJ Sarajevo is 2 h 30 to Mostar and better for onward rail",DBV,,,herzegovina|mostar|trebinje|stecci|ottoman-towns|bosnian-coffee|slow-travel|wine,43.8486,18.3564,country,0,2698,southern-mediterranean,carta-dataset/trips/cozy-towns-bosnia-herzegovina.md
be-cozy-towns-bruges-damme-veurne,"West Flanders Squares — Bruges, Damme and Veurne",Belgium,BE,Western & Central Europe,West Flanders,Cozy Towns Trips,4,7,April|May|June|September|October,Start on a Saturday so the Wednesday market at Veurne and the Saturday market at 't Zand both land inside the week.,€€,1100,1580,520,740,320,450,120,190,140,200,1,Easy,Bruges and Veurne,Brussels (BRU),BRU,EUR,Dutch|French,lace|market-days|canals|brick-gothic|slow-travel,51.2089,3.2242,city,0,2025,western-central,cartatripsv1/trips/be-cozy-towns-bruges-damme-veurne.md
bg-cozy-towns-revival,Carved Ceilings and Cobbled Bridges: A Slow Week in Bulgaria's Revival Towns,Bulgaria,BG,Eastern & Southeastern Europe,"Sredna Gora, the Balkan foothills and the Veliko Tarnovo highlands",Cozy Towns Trips,4,7,May|June|September,"late May to mid-June, and the whole of September — long light, warm stone, no coach parties",€,610,990,245,420,140,210,180,280,45,80,1,Easy,Koprivshtitsa|Tryavna|Arbanasi,"Sofia (SOF) is 110 km from Koprivshtitsa — 1 h 45 by car, or the slow train on the Sofia–Burgas line to Koprivshtitsa station, which sits 9 km below the town with a connecting bus. Fly home from Sofia or Varna (VAR), 3 h from Veliko Tarnovo.",SOF,Euro (EUR) — sole legal tender since 1 February 2026; mandatory dual BGN display ended 8 August 2026,Bulgarian,revival-architecture|woodcarving|museum-houses|slow-travel|guesthouses|crafts|mehana,42.6975,23.3241,gateway,7,2228,eastern-southeastern,cartaeasterneuropetrips/trips/bulgaria-revival-towns-cozy-towns.md
ch-cozy-towns-appenzell,Painted Houses — An Appenzellerland Week,Switzerland,CH,Western & Central Europe,Appenzell Innerrhoden & Ausserrhoden,Cozy Towns Trips,4,7,May|June|September|October,The Landsgemeinde votes in the open air on the last Sunday of April; the decorated cattle come down off the alps in the first half of September.,€€€,1330,1890,700,980,380,520,140,210,110,180,2,Easy,Appenzell,Zürich (ZRH),ZRH,CHF,German,painted-houses|alpine-folk-craft|cheese-dairies|narrow-gauge-rail|landsgemeinde,47.3667,8.55,gateway,0,2685,western-central,cartatripsv1/trips/ch-cozy-towns-appenzell.md
cz-cozy-towns-south-bohemia-telc,Arcaded Squares of South Bohemia,Czechia,CZ,Western & Central Europe,South Bohemia & the Vysočina,Cozy Towns Trips,4,7,May|June|September|October,State chateaux shut from November to March and open weekends only in April and October; late October brings the Třeboň pond harvests.,€€,780,1150,340,500,200,300,150,220,90,130,1,Easy,"Český Krumlov, Třeboň and Telč",Prague (PRG),PRG,CZK,Czech,unesco-squares|renaissance|carp-ponds|market-days|slow-travel,50.088,14.4208,gateway,0,2018,western-central,cartatripsv1/trips/cz-cozy-towns-south-bohemia-telc.md
de-cozy-towns-mosel-villages,Slate and Riesling — The Mosel Village Week,Germany,DE,Western & Central Europe,"Mittelmosel, Rhineland-Palatinate",Cozy Towns Trips,4,7,May|June|September|October,September and early October give harvest activity and warm slate; many small hotels close from January to mid-March.,€€,1020,1470,520,720,280,420,110,170,110,160,1,Easy,Bernkastel-Kues,Frankfurt (FRA),FRA,EUR,German,riesling|half-timbered|river-boats|vineyard-walks|wine-cellars,50.1155,8.6842,gateway,0,2631,western-central,cartatripsv1/trips/de-cozy-towns-mosel-villages.md
